"X","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"2087",2087,235,1.31,3.3,-88.6,3,0.02,0,0,-8,3,28,34,568,-420,79.9,8.35,109,29,-1.33,0.64,-0.71,-207,189,-62,-294,302,569,-127.8915177,-24.17746801,16.03030484,3,0.31,-0.51,-0.38,-6,-24,4,-415,276,295,-179,-5.58,-29.9,24,-0.74,3.03,0.57,154,-7,181,513,-774,121,"A"
"11464",11464,550,127,-40.8,161,18,0.11,0.11,-0.16,49,44,-162,171,602,-307,-23.7,-47.9,-11.3,15,1,-0.64,0.67,89,-90,-77,739,-24,165,52.75831602,-28.63171898,-95.54365667,17,0.11,0.02,-0.15,-46,82,-133,-554,251,73,0,0,0,48,1.03,2.33,0.94,-267,383,-6,-650,593,597,"C"
"12056",12056,719,119,13.8,-1.26,18,0.13,0.1,-0.18,-17,63,-160,27,594,-336,-41.2,16.7,-96.9,28,1.59,-1.22,1.39,-267,-37,3,-223,306,603,-105.8114985,-49.70351139,11.53504792,6,-0.02,0.24,0.03,-29,-53,7,-450,419,-4,-48.7,10.4,165,46,0.4,-2.31,-0.21,-393,-213,-7,-496,-276,189,"C"
"649",649,66,123,25.8,-3.49,19,-0.4,-0.03,-0.44,-39,69,-173,5,582,-380,-34,-11.6,-2.52,44,-1.33,0.19,0.28,389,-82,-165,729,37,-134,11.3580786,44.52456429,110.9239349,9,0.53,-0.16,-0.07,38,10,79,539,-511,-113,-144,50.6,-132,29,-0.27,1.94,0.21,-172,-69,-216,-562,-180,279,"A"
"14771",14771,495,1.39,4.69,-88.1,5,0.05,-0.06,-0.13,-15,1,46,43,622,-306,0,0,0,43,-1.53,0.37,0.05,171,-26,-389,705,-167,-176,59.1446757,-50.35136655,-74.16541768,29,0.53,0.22,-0.39,-135,156,-189,-493,337,92,152,32.9,135,32,0.11,0.64,0.49,-130,211,-190,-648,519,630,"D"
"11646",11646,558,127,-42.1,163,18,0.1,0.11,-0.16,43,48,-160,172,600,-315,-13.9,42.3,-83.2,29,0.43,-0.61,0.8,-284,-41,-29,-351,323,560,44.06850431,-30.51054681,-102.1933426,17,0.22,0.18,-0.03,-50,71,-142,-559,266,48,0,0,0,50,0.82,1.86,1.07,-75,482,-15,-274,805,629,"C"
"9575",9575,97,122,25.8,-4.02,19,-0.42,-0.03,-0.46,-40,69,-171,7,595,-357,-21,-76.7,-70.9,35,-1.7,0.19,0.15,344,-40,-4,699,124,218,19.89129686,36.56633559,114.9945302,11,0.55,-0.18,-0.23,38,21,97,503,-540,-60,149,-4.04,87.3,37,0.24,0.92,0.07,128,288,-189,-204,759,586,"C"
"18112",18112,504,-5.11,1.18,-87.6,4,0.11,-0.16,-0.36,-13,-18,38,29,635,-298,0,0,0,14,0,0.08,-0.05,-17,131,-24,407,175,514,73.35585854,-41.81828714,-67.12379518,28,-0.26,0.42,0.25,-111,183,-170,-566,225,89,147,9.04,107,28,-0.9,3.9,1.1,80,218,-147,-489,766,942,"E"
"17835",17835,399,1.39,3.16,-87.5,3,0.06,0.02,0,-8,2,27,40,572,-420,97.8,-39.2,-0.79,24,3.34,-1.08,-0.28,137,97,-159,743,-91,-13,54.86053662,42.89944132,84.05300471,16,-0.13,-0.19,-0.03,67,84,120,-228,344,376,171,18.9,-97.3,29,-0.03,-2.12,0.03,-12,-219,180,89,-708,72,"E"
"3682",3682,424,0.4,4.06,-87.9,4,0.06,0,0,-13,-3,39,42,632,-319,0,0,0,22,-2.94,1.54,-0.79,-107,176,-61,455,216,459,72.77958307,-44.32204664,-65.75721406,30,0.98,-0.42,-1.43,-127,197,-181,-511,362,-1,80.2,-36.8,101,35,0.56,-0.5,0.54,201,236,-151,54,622,723,"A"
"9781",9781,262,1.61,3.26,-89.2,3,-0.06,0.02,-0.02,-8,7,23,35,562,-437,84.6,-21.1,37.1,17,-4.37,1.36,-0.71,-26,160,31,628,1,335,-137.9001298,-17.94457995,-6.698168708,5,0.18,-0.21,-0.72,-8,-44,-3,-485,127,303,-180,15.1,-39.6,23,0.08,-4.64,-0.97,130,60,170,522,-800,122,"C"
"4348",4348,660,108,26.6,-18.7,17,0.05,0.11,-0.15,-19,62,-157,23,606,-304,-171,-70.9,41,32,0.24,-0.56,0.85,-299,-44,-73,-425,279,523,-109.4418414,-42.26202329,20.65411303,3,-0.02,0.19,-0.46,-12,-26,6,-545,304,-141,-2.74,-3.66,-81.6,1,-0.08,0.06,-0.11,7,3,-9,78,594,427,"A"
"13837",13837,286,-24.5,-2.06,-87,10,-0.02,0.11,0.62,-29,-8,89,-8,659,-236,105,-28.9,-11.6,26,4.09,-1.16,0.2,83,82,-232,707,-112,-153,12.68512754,10.13826667,140.8065478,4,1.75,-0.71,-0.59,4,5,39,-465,199,293,178,15.2,-20.5,24,-0.34,-5.2,-0.56,105,114,175,476,-488,-38,"D"
"1285",1285,202,121,-43.6,173,17,0.14,0.11,-0.15,49,44,-158,161,611,-295,13.6,-15.5,-32.8,23,1.59,-0.93,1.2,126,-110,-147,766,-45,-62,54.75460965,-31.23948091,-92.16017941,16,-0.08,0.11,0.08,-49,83,-127,-544,292,49,0,0,0,44,0.58,1.98,0.79,-117,415,5,-398,812,660,"A"
"18564",18564,591,140,-36.7,132,16,-0.05,0.18,0.15,39,32,-153,190,600,-330,-94.1,-56,55,33,0.59,-0.61,0.72,163,-149,-235,652,-109,-333,83.25048466,-19.96270314,-69.86014715,19,0.03,0.64,0.08,-37,138,-120,-483,384,30,0,0,0,42,0.82,0.19,0.21,-394,122,-2,-607,-71,398,"E"
"6519",6519,349,1.49,6.2,-92.6,3,-0.05,0.02,-0.07,-16,4,26,0,600,-308,114,-51,-19.8,26,-2.28,0.93,0.15,130,22,-215,751,-158,-102,146.3648978,10.39364463,2.594026246,12,0.26,-1.3,-0.02,12,115,3,-393,490,-51,-89.5,69.9,-37.3,30,0.75,0.96,0.72,-170,-150,-185,-353,-394,248,"B"
"8332",8332,701,116,16.9,-5.78,17,0.1,0.13,-0.18,-22,65,-157,15,608,-324,-47,-17.3,-13.4,13,3.32,-1.86,1.41,51,-88,-75,706,10,169,59.9352129,19.92482469,93.00112255,10,0.03,0.48,0.16,20,57,81,-385,488,-48,-10.6,29.1,-147,26,0.26,-3.9,-1.35,-248,44,35,-672,544,686,"B"
"13128",13128,115,122,26,-6.69,20,-0.51,-0.03,-0.46,-39,71,-176,-1,589,-370,88.7,52.2,35.1,32,-2.2,0.29,0.26,249,8,183,442,207,486,-27.08408232,12.45374618,127.1370742,11,0.56,-0.03,-0.21,13,-28,100,505,-541,-77,135,40.2,126,36,0.02,0.27,-0.02,-205,239,-168,-672,478,528,"D"
"11269",11269,542,126,-41.4,164,18,0.1,0.11,-0.18,51,45,-162,162,606,-314,-155,-67.4,158,42,0.48,-0.58,0.95,70,-160,-370,313,-115,-550,46.06351743,-27.74942575,-102.1424523,20,0.18,0.19,-0.08,-53,86,-165,-587,208,28,0,0,0,58,0.58,2.49,0.87,-270,497,22,-653,667,869,"C"
"9838",9838,264,1.3,2.03,-88.3,3,0.05,0,-0.05,-8,5,24,34,565,-432,87.7,-0.02,81.3,34,-3.89,1.56,-0.52,-200,264,48,99,260,597,-98.80317318,-21.44693466,-53.22985603,6,0.29,-0.37,-0.15,-13,-51,-31,-519,114,270,176,19.3,-71.3,22,0.22,-3.95,-1.48,54,-114,179,209,-796,109,"C"
"6267",6267,251,2.22,3.12,-88.3,2,0.02,0,0.02,-9,6,15,36,563,-424,107,-28.7,-8.79,22,3.48,-1.49,-0.23,98,123,-153,726,-77,-49,-104.7332899,-49.65001354,-15.21526749,5,-0.47,-0.24,0.41,-22,-40,-7,-472,183,287,-177,15.1,91.6,42,-0.03,-2.14,-0.13,-59,355,199,-597,1140,-518,"B"
"2451",2451,317,0.81,4.84,-88,5,0,0,0.02,-14,2,42,59,633,-311,0,0,0,38,0,0,0.02,-283,154,-193,-423,453,341,56.20859926,-53.12758842,-74.4636981,31,0.55,0.34,-0.44,-154,162,-206,-546,314,27,51.2,-56.6,163,33,0.03,-0.03,0.07,229,108,-204,126,536,703,"A"
"16094",16094,5,154,-32.6,130,23,-0.13,0.1,0.13,63,17,-215,165,517,-471,-37.3,-5.87,-64.4,26,-3.36,0.43,0.59,-212,-10,139,336,193,558,109.5169357,10.00014677,-46.32745895,21,1.01,-1.28,-0.75,21,187,-94,-271,514,134,0,0,0,45,1.33,0.39,0.54,24,443,-37,107,616,415,"E"
"10856",10856,463,1.14,4.83,-87.9,4,0.03,0.02,-0.03,-14,0,38,42,635,-305,0,0,0,36,1.41,-0.56,0.34,-285,178,-100,-390,422,413,46.50686877,-52.25823682,-83.52222235,28,0.16,0.21,0.07,-138,124,-205,-557,246,83,148,36.1,160,23,-0.05,-1.01,-0.3,-126,18,-190,-679,365,664,"C"
"3328",3328,409,0.45,4.58,-88.1,5,0.03,0,0,-16,1,46,40,634,-301,0,0,0,38,-0.02,-0.02,0.05,-280,157,-182,-408,429,408,56.79770669,-51.16908877,-75.62559724,30,0.35,0.14,-0.36,-142,156,-199,-517,330,68,52.6,-44.4,159,33,0.03,0,-0.05,228,107,-199,122,561,668,"A"
"9110",9110,835,121,26.4,-5.24,19,-0.47,-0.03,-0.39,-40,69,-168,1,585,-366,118,22.5,-21.8,37,2.83,-2.81,-0.46,337,-51,-133,653,21,-311,-96.40328005,-19.01611995,56.80294636,14,0.55,0.95,-0.9,-26,-113,74,313,-672,-135,128,10.8,86.8,31,0,2.04,1.1,77,272,-114,-314,807,876,"B"
"589",589,63,122,25.9,-4.27,19,-0.39,-0.03,-0.43,-41,70,-173,4,585,-376,29.3,59.2,-16.9,35,-2.79,0.61,0.2,336,-29,72,702,123,180,-11.6589247,31.54042233,123.3121019,8,0.66,-0.03,-0.57,24,-9,73,525,-521,-106,135,67,137,31,0.51,-2.83,-0.38,-96,237,-163,-695,431,546,"A"
"18360",18360,515,0.37,5.56,-88.2,5,0.03,0,0,-15,2,44,45,631,-305,0,0,0,38,-4.24,2.14,-1.28,-271,256,15,144,352,533,87.43252384,-38.45122507,-54.73413098,30,0.56,-0.03,-0.56,-111,227,-154,-219,526,158,152,-5.29,89.1,31,0.03,-0.02,-0.03,187,168,-168,-37,692,803,"E"
"588",588,63,122,25.9,-4.3,19,-0.39,-0.03,-0.43,-42,72,-169,6,586,-378,36.5,69.3,-9.07,32,-2.91,0.66,0.03,294,-9,95,655,151,278,-21.26198087,30.25052304,119.7079704,8,0.72,-0.19,-0.54,24,-17,75,528,-523,-101,121,59.4,121,35,0.37,-2.76,-0.54,-76,287,-171,-660,541,579,"A"
"1725",1725,221,1.85,5.64,-87.9,3,0.02,0,0,-10,7,23,58,565,-430,72.9,43.2,85.6,29,0,0.02,-0.02,-217,154,-112,-331,232,599,-136.4043171,-20.39001248,3.375477493,3,0.19,-0.24,-0.2,-6,-29,1,-424,252,301,138,-46.9,159,36,-0.26,-0.21,0.34,-73,275,210,-523,1030,-419,"A"
"3161",3161,345,1.18,7.29,-93.1,3,0.03,0,-0.03,-19,3,27,5,598,-307,78.5,-38.9,38.6,12,2.73,-1.33,0.16,5,110,-48,629,74,341,19.73955598,0,137.3400767,2,-0.02,0,0.08,0,4,20,-538,314,-22,73.4,33.6,128,36,-0.24,2.73,0.82,-128,280,-173,-678,493,671,"A"
"12272",12272,728,121,14,3.6,18,0.03,0.1,-0.25,-18,62,-168,30,598,-338,-34.6,-8.56,-37.5,7,1.64,-0.98,0.82,-7,-60,33,510,117,443,-105.9289523,-50.19179594,9.033051028,7,-0.03,0.26,0,-32,-58,6,-464,418,-32,-15,43.4,-114,31,0.47,-2.04,-0.66,-289,66,39,-650,586,648,"C"
"9379",9379,89,123,24.7,-0.78,19,-0.35,-0.03,-0.36,-46,74,-169,8,590,-372,101,0.07,-31.3,44,2.09,-2.1,0.49,389,-131,-147,640,-215,-314,-14.13251343,17.69915784,134.3362403,9,0.96,0.35,-1.1,15,-12,83,542,-509,-86,136,13.9,93.8,42,-0.39,2.2,0.82,147,351,-144,-359,806,841,"C"
"3644",3644,422,0.59,5.9,-87.8,4,0.13,0,0.02,-19,0,38,62,631,-320,0,0,0,33,-0.02,-0.1,0.07,164,15,-274,736,-136,-123,60.55063202,-49.1000898,-73.90471661,30,0.13,0.26,0.13,-140,169,-200,-487,388,-4,68.9,-14.6,112,38,1.19,-2.87,-0.07,237,274,-87,-147,749,861,"A"
"13984",13984,292,-18.2,-1.84,-87.2,7,0.06,-0.18,-0.79,-13,3,64,2,641,-269,110,-21.9,-20.5,31,3.95,-1.43,0.26,95,64,-280,683,-141,-221,52.66002952,16.83261367,101.2450579,10,-0.4,0.56,0.03,16,48,81,-265,318,375,179,16.5,-34.9,19,-0.35,-4.11,-0.48,90,-44,161,426,-650,8,"D"
"3474",3474,415,1.31,4.3,-87.7,4,-0.05,0,-0.02,-12,2,39,52,631,-321,0,0,0,39,-0.14,-0.05,0.25,-286,164,-185,-416,440,384,55.32156329,-50.57728195,-77.46005137,30,0.35,0.11,-0.39,-142,154,-205,-525,324,66,55.9,-37.6,160,33,0.14,0.08,-0.07,209,128,-210,124,562,621,"A"
"2933",2933,335,1.12,6.74,-93.6,3,-0.06,0.03,-0.02,-19,4,28,-6,603,-313,15.3,3.71,12.1,37,0.48,-0.05,0,139,-16,-338,611,-200,-315,34.87710036,0,122.2025323,1,0,0.1,0.03,0,4,11,-518,356,-55,40.6,-51,-147,45,0.19,-1.17,-0.1,67,382,-214,-180,722,504,"A"
"13082",13082,113,121,25.7,-6.47,19,-0.48,-0.02,-0.48,-41,69,-172,3,581,-366,96.6,30.1,34.6,34,-1.75,0.19,0.28,279,19,184,485,209,434,-39.5671477,22.57083787,110.8851313,8,0.72,-0.13,-0.62,18,-31,72,507,-538,-87,148,56.8,151,30,-0.18,2.06,0.62,-215,154,-126,-703,241,557,"D"
"5048",5048,771,119,16.5,0.77,18,0.1,0.14,-0.16,-30,62,-160,21,599,-341,-51,-41.7,8.95,23,-0.69,-0.03,0.38,137,-113,-131,723,-34,-30,-27.60465951,-18.98293066,123.2906716,5,-0.02,0.19,-0.2,-9,-13,45,-529,327,-158,33.1,5.46,-61.5,10,-0.51,1.09,0.21,-55,83,12,-146,749,583,"A"
"4290",4290,657,115,25.2,-8.21,18,-0.37,0.19,-0.36,-16,61,-160,85,600,-328,164,-60,79.8,32,0.24,-0.48,0.8,-300,-43,-75,-423,286,513,-117.5536148,-34.22407133,18.99138214,5,-0.14,0.16,0.02,-16,-44,9,-552,292,-165,0.28,-1.87,-81.2,1,-0.02,0.08,-0.02,2,1,-10,83,596,418,"A"
"4959",4959,741,122,-43.5,172,18,0.11,0.11,-0.16,49,45,-159,163,607,-305,51.8,51.4,13.9,20,1.06,-0.87,0.79,-188,-32,38,50,272,618,60.84455961,-28.00196097,-88.29141173,16,0.13,0.05,-0.2,-44,91,-123,-543,309,38,0,0,0,47,0.72,1.53,0.67,-138,440,-5,-436,811,724,"A"
"2105",2105,236,1.39,3.5,-88.8,3,0.03,0,-0.02,-9,3,26,35,574,-424,129,-33.2,-53.5,46,0.11,-0.39,0.57,149,13,-426,467,-182,-441,-113.4169167,-43.66271598,0,3,0.18,-0.29,-0.26,-14,-30,0,-439,251,297,170,8.77,39.7,36,-0.18,-2.95,-0.26,107,303,151,56,490,-308,"A"
"2539",2539,320,0.78,5.06,-88,5,0.02,0,0,-15,2,45,48,632,-307,0,0,0,39,-0.02,0.06,0.13,-287,158,-194,-419,439,380,54.841797,-50.84365636,-77.6618463,30,0.35,0.16,-0.3,-141,151,-203,-519,328,59,55.9,-51,162,33,0.05,-0.03,0.03,230,115,-200,125,560,629,"A"
"14136",14136,387,1.58,7.47,-93.5,3,0.08,0,-0.02,-21,6,21,-4,606,-316,84,-52.9,5.9,26,0.26,-0.14,0.34,95,-12,-234,771,-235,87,71.88299996,0,85.19663272,1,0.11,-0.02,-0.05,0,7,8,-549,302,3,139,14.9,98.5,49,0.72,2.02,0.75,-12,414,-236,-348,690,409,"D"
"4993",4993,743,122,-43.7,172,17,0.18,0.11,-0.15,50,44,-157,171,607,-311,9.92,-17.2,-31.7,20,-0.8,-0.27,0.77,125,-96,-122,764,-39,-17,57.83144937,-19.2989898,-95.29451015,21,0.4,0.22,-0.21,-40,114,-170,-501,385,-65,0,0,0,40,1.17,-0.95,-0.23,-310,244,21,-700,241,575,"A"
"7293",7293,452,-0.11,5.18,-88.4,5,0,0,-0.02,-11,2,46,50,639,-309,0,0,0,51,0.92,-0.42,-0.03,98,-76,-483,444,-245,-432,109.8167394,-18.48705312,-42.95541945,36,0.35,0.02,-0.64,-64,310,-145,-160,567,142,157,7.47,74.2,37,0.34,-0.79,0.05,222,239,-165,20,647,706,"B"
"4751",4751,678,118,16,1.49,17,0.16,0.11,-0.1,-21,61,-156,24,602,-325,-44.9,-36.3,-0.61,22,-1.03,0.05,0.56,125,-109,-136,729,-22,4,-16.60570182,-23.35297156,128.2432384,3,0.11,0.21,-0.07,-7,-5,29,-494,368,-168,23,1.81,-70.6,10,-0.55,1.61,0.48,-61,64,34,-160,751,606,"A"
"16603",16603,41,12.4,4.68,-91.4,4,0.03,0.05,0.18,-2,12,-33,20,507,-480,154,-25.9,-73.1,47,1.06,-0.5,-0.18,56,-129,-435,330,-384,-434,-74.33431746,10.43048693,81.65836905,2,-0.31,0.34,0.18,2,-13,14,-565,255,-4,148,-2.27,91.6,46,0.21,-1.25,0.1,14,389,-225,-195,719,448,"E"
"7699",7699,533,127,-43.6,163,18,0.13,0.11,-0.18,51,44,-159,164,606,-311,18.4,44.4,-28.5,26,-2.14,0.61,0.31,-225,-6,121,8,291,594,56.20103523,-21.86102794,-95.77893877,16,0.02,0.06,-0.08,-35,86,-132,-560,249,82,0,0,0,31,0.98,1.24,0.75,-304,-29,-14,-235,-534,122,"B"
"3775",3775,427,-1.11,2.43,-89.4,5,0.08,0,-0.05,-11,-2,50,21,637,-287,0,0,0,39,-2.44,1.48,-0.44,-275,265,-48,-189,426,491,47.59705819,-55.9248041,-79.39679091,30,0.77,-0.32,-1.13,-154,133,-207,-507,383,-27,95.7,-9.98,108,39,1.12,-2.81,-0.49,196,301,-136,-269,801,875,"A"
"3698",3698,424,0.77,3.68,-88,4,-0.05,0,-0.02,-12,-1,38,47,632,-318,0,0,0,30,1.75,-0.72,0.41,125,65,-255,749,-36,-8,63.2432881,-43.84684743,-75.57255622,31,0.66,0.43,-0.44,-130,181,-210,-434,453,-42,-108,78.1,-72.5,28,0.27,-2.52,-0.02,-190,-46,-190,-551,-149,381,"A"
"6811",6811,361,1.22,6.05,-93.1,3,0.05,0,0,-19,7,22,-6,604,-314,108,-43.5,9.22,17,3.15,-1.72,0.3,88,65,-124,757,-85,116,104.1017481,51.76283734,10.27655432,17,-0.22,0.88,-0.28,82,143,17,-198,596,-8,133,20.7,111,33,-0.06,2.3,0.59,-14,293,-143,-521,720,747,"B"
"17102",17102,155,128,10.9,50.3,16,0.08,0.19,0.18,-29,55,-145,34,625,-268,-47.9,30.2,-103,29,0.82,-0.74,0.98,-280,-59,-34,-373,247,599,-97.35693932,-55.76749667,-19.13522051,12,0.11,0.21,-0.21,-64,-100,-23,-521,336,-53,-72,2.05,175,53,-0.22,0.51,0.03,-426,-303,-29,-401,-409,6,"E"
"6743",6743,358,1.48,6.03,-92.7,3,-0.02,0,-0.05,-17,4,22,-4,603,-303,78.9,-4.92,70.6,24,2.39,-1.11,-0.23,-139,194,5,190,313,512,144.7626106,-4.564454363,11.43205898,9,0.47,-1.12,-0.48,-4,87,10,-448,429,-24,142,-4.13,103,43,-0.13,-0.95,-0.41,-14,375,-196,-273,725,477,"B"
"9349",9349,860,1.44,7.6,-92.7,3,-0.03,0,-0.03,-19,4,22,4,610,-309,130,-56.7,-42.2,36,-1.41,-0.19,0.98,127,-47,-321,699,-268,-216,85.01743877,70.91770043,10.66497544,16,0.26,-1.08,-0.28,104,120,17,-114,610,-11,-111,24.8,-36.4,38,-0.51,-1.14,-0.72,66,-290,-221,156,-641,-43,"B"
"15774",15774,799,14.9,-4.08,-76.4,6,0.16,-0.08,-0.11,22,12,-50,120,379,-609,74.4,3.64,89.7,27,3.56,-0.75,0.05,-194,172,-37,-89,271,623,-27.99447002,-44.4275573,-103.4501561,7,0.08,-0.16,0.34,-28,-18,-56,-563,116,167,-176,9.9,115,45,0.26,-2.95,-0.48,-172,357,201,-948,1370,-683,"D"
"15717",15717,783,1.05,3.2,-87.2,4,0,0,0,-10,5,40,40,631,-315,0,0,0,12,-0.06,-0.03,0.03,6,116,-27,468,118,483,72.89177797,-38.01848561,-70.36858993,32,1.11,0.53,-0.62,-117,210,-204,-419,434,91,145,25,121,33,0.1,-0.35,-0.11,-123,260,-157,-613,617,710,"D"
"9984",9984,270,1.23,1.31,-88.2,3,0.06,-0.02,-0.05,-5,3,26,27,569,-430,90.1,-35.9,34,15,2.7,-0.83,0.67,67,111,-61,656,1,285,51.26765865,-58.45514983,-74.02239482,2,0.1,0.39,0.15,-9,8,-11,-497,172,265,171,10.9,-20.9,25,0.08,-2.3,0.23,167,-51,173,529,-581,38,"C"
"13875",13875,288,-15.1,-4.27,-82.3,5,-0.03,-0.19,-0.98,-2,-10,43,8,614,-331,113,-26.4,-38,33,-3.21,0.53,-0.25,122,54,-296,540,-162,-401,67.92944175,37.22586847,75.84017546,15,0.72,-0.29,-0.18,55,95,104,-129,340,426,175,11.5,-86.8,44,-0.29,1.62,0.59,-68,-392,174,-21,-617,21,"D"
"8440",8440,706,116,16.3,-5.67,18,0.1,0.1,-0.2,-23,62,-160,21,602,-305,-81.1,-22.8,44.5,37,1.35,-0.96,1,121,-174,-295,520,-163,-399,91.39534214,17.91394808,62.37017162,10,0.16,-0.48,-0.03,18,80,59,-373,495,-58,25.1,2.7,-66.8,10,-0.43,1.22,-0.07,-25,94,26,-105,725,601,"B"
"8309",8309,701,115,16.9,-5.12,17,0.13,0.11,-0.16,-22,62,-155,6,609,-313,-88.3,-23.9,63.1,43,-1.19,-0.08,0.67,96,-202,-362,345,-167,-506,38.37133336,9.372876198,117.4626147,8,-0.26,0.14,0.02,7,28,69,-427,455,-26,22.6,-2.89,-68.4,9,-0.55,1.75,0.11,-14,86,30,-109,732,634,"B"
"8304",8304,700,115,17,-5,17,0.13,0.11,-0.18,-23,61,-156,11,608,-312,-78.3,-28.3,45.6,36,-1.25,0.1,0.41,121,-176,-276,523,-155,-405,57.03024025,1.587968552,100.0216539,6,-0.19,-0.13,-0.2,1,34,53,-420,463,-60,21.9,15.5,-86.9,19,-0.75,2.91,0.2,-125,142,21,-388,774,625,"B"
"16205",16205,10,123,-40.3,158,16,0.03,0.11,-0.13,64,23,-141,382,489,-271,-84,-21.9,68.5,48,-1.45,0.39,0.39,53,-210,-416,269,-218,-548,90.40172213,-4.837688135,-66.43718105,17,0.51,-0.45,-0.21,-8,130,-102,-506,323,115,0,0,0,52,1.08,-1.7,-0.39,16,506,-42,-77,743,544,"E"
"6104",6104,245,1.79,4.04,-89.1,2,0.06,0,-0.03,-8,4,18,45,564,-434,87.1,12.2,116,32,0.05,0.02,-0.03,-234,155,-137,-355,315,540,-100.8025552,-33.13289917,-43.66321988,3,0.03,-0.5,0.41,-10,-26,-13,-482,184,269,179,28.8,53.3,39,-0.16,-3.1,-0.46,43,339,162,-241,840,-498,"B"
"13701",13701,281,12,-2.4,-81.4,5,-0.26,0.26,0.9,25,26,-33,89,430,-570,67.7,-15.3,68.7,20,2.73,-0.79,0.46,-94,166,-13,324,132,559,5.653088706,-43.75878888,-112.9064176,4,0.13,-0.06,-0.23,-15,2,-32,-505,166,248,-173,12.1,44.6,36,-0.19,-2.44,0.03,116,293,164,50,502,-294,"D"
"14163",14163,388,1.2,7.44,-93.6,3,0.03,-0.02,0,-18,4,19,-1,598,-321,69.8,14.2,102,31,-1.59,0.4,-0.08,-267,144,-32,-287,317,553,112.7707553,-12.35090058,42.31676857,2,0.02,0.02,0.05,-3,22,10,-525,326,-22,137,8.53,99.3,38,0.02,-0.21,-0.02,93,276,-226,-225,702,403,"D"
"7940",7940,639,125,-42.7,167,18,0.08,0.11,-0.21,50,44,-165,159,597,-315,24.1,-0.35,-11,3,2.02,-1.27,1.12,0,-28,-11,579,161,349,53.70002276,-22.18412565,-98.01818287,19,-0.03,0.08,-0.15,-40,93,-151,-534,337,-14,0,0,0,41,0.8,2.23,0.74,-355,189,30,-645,49,528,"B"
"5194",5194,793,0.79,3.82,-88,5,-0.03,0,0.02,-14,1,42,38,625,-310,0,0,0,37,0.02,-0.02,-0.02,-276,157,-184,-411,434,386,54.66321937,-52.29387636,-76.57587901,30,0.39,0.19,-0.49,-147,153,-204,-525,331,61,51,-40.5,158,33,0,-0.02,0,235,112,-200,125,553,671,"A"
"12662",12662,831,121,25.3,-4.92,19,-0.39,-0.03,-0.44,-46,71,-168,9,591,-371,132,-74.3,76.9,36,0.4,-0.43,0.02,351,-17,32,686,135,229,-11.50824493,23.17254392,131.1123316,11,0.82,0.21,-0.54,24,-12,101,515,-537,-65,144,-9.21,91,37,0.27,-0.39,0.07,114,287,-198,-202,755,600,"C"
"3324",3324,409,0.43,4.39,-88.1,5,0.05,0.02,0.02,-15,1,48,44,638,-304,0,0,0,38,-0.02,0.05,-0.11,-275,158,-188,-404,425,412,55.97464399,-50.37364503,-77.04648925,30,0.35,0.14,-0.39,-140,154,-202,-524,334,58,52.8,-44.6,159,33,0.02,-0.03,-0.07,227,106,-200,120,565,661,"A"
"10094",10094,275,1.66,3.63,-88.4,2,-0.06,0.02,0,-9,4,17,42,569,-438,73.9,-5.65,95.9,29,-3.05,0.9,-0.26,-204,194,-18,-27,269,618,104.8992428,-49.25408519,-15.82821675,1,0.1,-0.14,-0.13,-6,11,-2,-485,172,279,-171,11.6,95,43,0.02,2.78,0.71,-52,375,180,-457,1060,-513,"C"
"12073",12073,720,120,13.7,-0.14,18,0.13,0.11,-0.18,-19,64,-166,26,596,-342,-31.2,-18.9,-41.9,4,-2.84,1.11,1,-23,-11,-25,593,216,296,-95.74920442,-60.71433713,7.614338232,5,-0.05,0.18,-0.07,-30,-43,4,-452,418,2,-48.1,-11.1,122,52,-0.5,1.06,-0.11,-341,-373,-33,-108,-627,-49,"C"
"3658",3658,423,0.9,4.84,-88,4,0.02,0,0,-18,1,40,47,635,-321,0,0,0,20,2.47,-1,0.57,-105,161,26,196,309,556,68.56282738,-34.4456371,-77.04738984,34,0.5,0.56,-0.07,-112,210,-231,-419,471,-67,-75.8,67.9,-44.2,31,-0.03,0.5,0.41,-191,-145,-183,-533,-176,362,"A"
